Year,Place,Source
2010,5,https://en.wikipedia.org/wiki/2009%E2%80%9310_Talk_%27N_Text_Tropang_Texters_season
2011,1,https://en.wikipedia.org/wiki/2010%E2%80%9311_Talk_%27N_Text_Tropang_Texters_season
2012,2,https://en.wikipedia.org/wiki/2011%E2%80%9312_Talk_%27N_Text_Tropang_Texters_season
2013,1,https://en.wikipedia.org/wiki/2012%E2%80%9313_Talk_%27N_Text_Tropang_Texters_season
2014,4,https://en.wikipedia.org/wiki/2013%E2%80%9314_Talk_%27N_Text_Tropang_Texters_season
2015,4,https://en.wikipedia.org/wiki/2014%E2%80%9315_Talk_%27N_Text_Tropang_Texters_season
2016,6,https://en.wikipedia.org/wiki/2015%E2%80%9316_TNT_KaTropa_season
2017,4,https://en.wikipedia.org/wiki/2016%E2%80%9317_TNT_KaTropa_season
2018,8,https://en.wikipedia.org/wiki/2017%E2%80%9318_TNT_KaTropa_season
2019,4,https://en.wikipedia.org/wiki/2019_TNT_KaTropa_season
2020,3,https://en.wikipedia.org/wiki/2020_TNT_Tropang_Giga_season
2021,1,https://en.wikipedia.org/wiki/2021_TNT_Tropang_Giga_season
2022,2,https://en.wikipedia.org/wiki/2022%E2%80%9323_TNT_Tropang_Giga_season
